"rules","support","confidence","lift","count"
"{agents,crime} => {agent}",0.152941176470588,1,3.14814814814815,13
"{knowing,agents} => {agent}",0.152941176470588,0.928571428571429,2.92328042328042,13
"{agents} => {agent}",0.188235294117647,0.888888888888889,2.79835390946502,16
"{agents,dangerous} => {agent}",0.152941176470588,0.866666666666667,2.7283950617284,13
"{familiar,agents} => {agent}",0.152941176470588,0.866666666666667,2.7283950617284,13
"{elevator,bullet,struggle} => {agent}",0.152941176470588,0.866666666666667,2.7283950617284,13
"{elevator,gear,bullet} => {agent}",0.152941176470588,0.866666666666667,2.7283950617284,13
"{growing,bullet,blocks} => {agent}",0.152941176470588,0.866666666666667,2.7283950617284,13
"{elevator,gear,struggle} => {agent}",0.164705882352941,0.823529411764706,2.59259259259259,14
"{gear,surveillance} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{dozen,government} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{bringing,dozen,government} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{gate,passenger,crime} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{gear,bullet,inch} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{freezes,bullet,inch} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{bullet,scans,inch} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{gate,bullet,inch} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{elevator,growing,struggle} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{gate,lined,passenger} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{address,dozen,fires} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{address,dozen,whispers} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{growing,bullet,scans} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{growing,bullet,dozen} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{bullet,dozen,forces} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{copy,gear,monitor} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{gear,charges,monitor} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{copy,dozen,fires} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{dozen,fires,struggle} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{bringing,dozen,forces} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
"{dozen,forces,match} => {agent}",0.152941176470588,0.8125,2.55787037037037,13
